                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.49407,                0.44274,                0.81611,                0.94702,                0.92972,                0.96066,                 0.8102,                0.64691,                0.46365,                0.85727,             0.00072164,             0.00072164,             0.00072164
                     52,                0.53973,                 0.4696,                0.83966,                0.95894,                0.91391,                 0.9565,                0.79377,                0.68855,                0.46826,                0.86904,              0.0007075,              0.0007075,              0.0007075
                     53,                0.51771,                0.45553,                 0.8333,                0.96096,                0.91768,                0.95497,                0.79026,                0.67769,                0.48228,                0.86896,             0.00069335,             0.00069335,             0.00069335
                     54,                0.53187,                0.45083,                0.82412,                0.97371,                0.92039,                0.95688,                0.78632,                0.67872,                0.47706,                0.87352,              0.0006792,              0.0006792,              0.0006792
                     55,                0.53241,                0.45615,                0.84594,                0.96312,                0.92926,                0.95793,                 0.8089,                0.64381,                0.45525,                0.86777,             0.00066506,             0.00066506,             0.00066506
                     56,                0.53236,                0.44327,                0.82488,                0.92131,                0.93874,                0.95471,                0.80463,                0.67586,                 0.4628,                0.87736,             0.00065091,             0.00065091,             0.00065091
                     57,                0.47479,                0.42462,                0.81755,                0.91974,                0.94085,                0.95396,                0.81173,                0.62912,                0.44877,                0.86331,             0.00063676,             0.00063676,             0.00063676
                     58,                0.50284,                0.42726,                 0.8401,                0.91567,                0.94515,                0.95277,                0.81362,                0.62861,                0.46636,                0.86245,             0.00062262,             0.00062262,             0.00062262
                     59,                 0.5089,                0.43052,                0.83262,                0.94671,                0.93018,                0.95448,                0.80912,                0.64631,                 0.4705,                0.85615,             0.00060847,             0.00060847,             0.00060847
                     60,                0.51043,                0.46197,                 0.8184,                 0.9672,                0.93271,                 0.9546,                0.81255,                0.65338,                 0.4641,                0.85935,             0.00059432,             0.00059432,             0.00059432
                     61,                0.50027,                0.42376,                0.82734,                0.98038,                0.92952,                0.96065,                0.81982,                0.63977,                0.45945,                0.85365,             0.00058017,             0.00058017,             0.00058017
                     62,                0.51998,                0.42884,                 0.8361,                0.97212,                0.94119,                0.96344,                0.82383,                0.62974,                0.44618,                0.85486,             0.00056603,             0.00056603,             0.00056603
                     63,                0.46777,                0.41246,                0.83068,                0.95952,                0.94787,                 0.9618,                0.82389,                0.63909,                0.43997,                0.86125,             0.00055188,             0.00055188,             0.00055188
                     64,                0.45376,                0.41001,                0.80784,                0.95546,                0.93762,                0.95681,                0.80948,                0.66823,                0.44857,                0.86443,             0.00053773,             0.00053773,             0.00053773
                     65,                0.48304,                0.40299,                0.82381,                0.96079,                0.93201,                0.95929,                0.81454,                0.65621,                0.44787,                0.85872,             0.00052359,             0.00052359,             0.00052359
                     66,                0.47758,                0.39715,                0.82171,                0.96973,                0.91296,                0.95709,                0.80756,                0.63722,                0.45093,                0.85414,             0.00050944,             0.00050944,             0.00050944
                     67,                0.46642,                0.39601,                0.83065,                0.95441,                0.92311,                0.95803,                0.81451,                0.63798,                0.44011,                0.85481,             0.00049529,             0.00049529,             0.00049529
                     68,                0.48175,                0.40666,                 0.8216,                0.96788,                0.90391,                0.95667,                0.81173,                0.63127,                0.44278,                0.86306,             0.00048114,             0.00048114,             0.00048114
                     69,                0.47879,                0.38965,                0.82977,                0.96377,                 0.9147,                0.95825,                0.80708,                0.63732,                0.45125,                0.86414,               0.000467,               0.000467,               0.000467
                     70,                0.45717,                0.39708,                 0.8177,                0.96478,                0.92296,                0.96047,                0.81512,                0.62209,                0.43504,                0.86166,             0.00045285,             0.00045285,             0.00045285
